"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1222","should show only completed todos when ""Completed"" filter is selected","chromium","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","1725","should reflect the selected filter in the URL hash","chromium","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","3446","should mark all todos as complete using toggle-all","firefox","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","4461","should persist the completed state of todos across a page reload","firefox","2026-09-01","passed","2026-09-01","Persistence","","",""
"","2783","should show 0 items left when all todos are completed","firefox","2026-09-01","passed","2026-09-01","Complete todo","","",""
"","1063","should handle special characters in todo text","chromium","2026-09-01","passed","2026-09-01","Add todo","","",""
"","1323","should update the Active view in real-time when a visible todo is completed","chromium","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","3103","should trim whitespace when saving an edited todo","firefox","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","1787","should complete remaining active todos when toggle-all is used with mixed state","chromium","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","2438","should show destroy button only on hover","firefox","2026-09-01","passed","2026-09-01","Delete todo","","",""
"","2861","should delete a completed todo","firefox","2026-09-01","passed","2026-09-01","Delete todo","","",""
"","1328","should clear input field after adding a todo","chromium","2026-09-01","passed","2026-09-01","Add todo","","",""
"","1699","should add a single todo item","chromium","2026-09-01","passed","2026-09-01","Add todo","","",""
"","3646","should revert to original text when pressing Escape","firefox","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","1528","should show 0 items left when all todos are completed","chromium","2026-09-01","passed","2026-09-01","Complete todo","","",""
"","5098","should show only completed todos when ""Completed"" filter is selected","firefox","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","3618","should show zero todos in Active filter when all are completed","firefox","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","2668","should unmark a completed todo as active","firefox","2026-09-01","passed","2026-09-01","Complete todo","","",""
"","2410","should mark a todo as complete by clicking its checkbox","firefox","2026-09-01","passed","2026-09-01","Complete todo","","",""
"","6433","should not add an empty todo when Enter is pressed on blank input","firefox","2026-09-01","passed","2026-09-01","Add todo","","",""
"","8047","should add multiple todo items","firefox","2026-09-01","passed","2026-09-01","Add todo","","",""
"","2218","should not show ""Clear completed"" button when no todos are completed","firefox","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","1463","should remove all completed todos via ""Clear completed""","chromium","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","3558","should remove all completed todos via ""Clear completed""","firefox","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","1106","should save edited text when focus leaves the input (blur)","chromium","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","1583","should show all todos when the ""All"" filter is active","chromium","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","1804","should delete all todos one by one and empty the list","chromium","2026-09-01","passed","2026-09-01","Delete todo","","",""
"","1116","should enter edit mode when double-clicking a todo label","chromium","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","1564","should mark all todos as complete using toggle-all","chromium","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","1185","should show destroy button only on hover","chromium","2026-09-01","passed","2026-09-01","Delete todo","","",""
"","7257","should add a single todo item","firefox","2026-09-01","passed","2026-09-01","Add todo","","",""
"","1179","should save edited text when pressing Enter","chromium","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","2594","should save edited text when focus leaves the input (blur)","firefox","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","1237","should delete a todo when its edited text is cleared and Enter is pressed","chromium","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","1448","should not show ""Clear completed"" button when no todos are completed","chromium","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","1340","should persist todos across a page reload","chromium","2026-09-01","passed","2026-09-01","Persistence","","",""
"","7636","should not add a todo containing only whitespace","firefox","2026-09-01","passed","2026-09-01","Add todo","","",""
"","893","should persist the active filter selection across a page reload","chromium","2026-09-01","passed","2026-09-01","Persistence","","",""
"","1338","should show only active (incomplete) todos when ""Active"" filter is selected","chromium","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","2727","should visually distinguish completed todos from active ones","firefox","2026-09-01","passed","2026-09-01","Complete todo","","",""
"","1142","should show zero todos in Completed filter when none are completed","chromium","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","2975","should delete one todo from a list of many","firefox","2026-09-01","passed","2026-09-01","Delete todo","","",""
"","3509","should show only active (incomplete) todos when ""Active"" filter is selected","firefox","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","1966","should unmark all todos when toggle-all is clicked while all are completed","chromium","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","3150","should reflect the selected filter in the URL hash","firefox","2026-09-01","passed","2026-09-01","Filter todos","","",""
"","1498","should update item count correctly after clearing completed todos","chromium","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","1598","should show ""Clear completed"" only when at least one todo is completed","chromium","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","2935","should save edited text when pressing Enter","firefox","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","3311","should update item count correctly after clearing completed todos","firefox","2026-09-01","passed","2026-09-01","Bulk actions","","",""
"","1281","should delete a completed todo","chromium","2026-09-01","passed","2026-09-01","Delete todo","","",""
"","3137","should delete a todo when its edited text is cleared and Enter is pressed","firefox","2026-09-01","passed","2026-09-01","Edit todo","","",""
"","1500","should mark a todo as complete by clicking its checkbox","chromium","2026-09-01","passed","2026-09-01","Complete todo","","",""
"","1013","should trim leading and trailing whitespace from todo text","chromium","2026-09-01","passed","2026-09-01","Add todo","","",""
